pl_name,pl_orbper,pl_orbpererr1,pl_tranmid,pl_tranmiderr1,pl_orbsmax,pl_orbsmaxerr1,pl_radj,pl_radjerr1,pl_orbincl,pl_orbinclerr1,pl_orbeccen,pl_orbeccenerr1,pl_orblper,pl_orblpererr1,Transits,Date,Archive Used,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity,Observation Depth,Observation Sensitivity,Binned Observation Sensitivity,Total Cadences
55 Cnc e,0.7365447409884635,4.261375129100896e-07,2457063.211653475,0.0010493374222230157,0.0151602786288022,0.0007654788990693027,0.01802401304727869,8.093760846683054e-05,84.15288649623497,0.4167684560311926,0.1030466049603972,0.028920746858283605,0.5316698657961894,35.00941548021239,34,01-Apr-2021 22:08:37,NASA,0.00016768971087729046,2.9743904841470007e-05,0.00032486504632847244,1.937298625114796,10.922071196097093,0.0003817430196944026,2.276484452726793,12.834327628770616,9234
CoRoT-1 b,1.5089688618369586,3.9732466878991773e-07,2454159.452898391,0.0012684842323222975,0.025237942231936088,0.001261921687337902,0.12414872316097438,6.567638838789887e-06,82.94299092317327,0.053585399610581584,0.0,0.0,90.0,0.0,29,02-Apr-2021 05:30:25,NASA,0.004347194347129838,0.0016477885629190162,0.015412905462500253,3.545483415683121,9.353691249802509,0.01579922826429525,3.6343505725080876,9.588140505300824,11831
CoRoT-4 b,9.201642746729355,7.836690106267525e-06,2454141.3543076096,0.0039731428368368574,0.0827310860962829,0.004223968046058909,0.09407389066728357,6.666055836127118e-05,92.62418017377613,2.5314342908673053,0.0,0.0,90.0,0.0,5,08-Apr-2021 21:17:05,NASA,0.003964765622970825,0.002034597066116055,0.008849896905280022,2.232136208507764,4.349704937977738,0.00894211610236939,2.2553958929024924,4.3950304712861135,3503
CoRoT-5 b,4.037916026399625,2.9218851468096145e-06,2454400.2002285416,0.003181033431723205,0.04860112884407216,0.0024648978766888398,0.10820424684518944,0.0016860959177384936,85.33581414197678,0.09994767153626387,0.2620109597983771,0.020129281186465148,274.8579976554456,10.503136262551138,11,05-Apr-2021 20:34:12,NASA,0.004387231847877611,0.0014059602164928839,0.011708159035334688,2.668689378930061,8.327518017928174,0.006279939703972226,1.4314127727282615,4.466655336548074,5783
CoRoT-7 b,0.8535930631750067,6.439102290498842e-07,2454398.078663856,0.0017687621719458418,0.01625643519574061,0.0008321849950900796,0.016770657969484154,0.00041279883212466087,81.613462416942,0.8253921864075023,0.0,0.0,90.0,0.0,52,31-Mar-2021 03:32:11,NASA,0.0016336698253679046,0.00022136469603198724,0.00028125496872942235,0.17216145169730573,1.2705502447814936,0.00029619845601958067,0.1813086410853408,1.338056435054937,11901
CoRoT-12 b,2.828106696553632,1.5286251007729231e-06,2454398.6305956463,0.0022499299381412547,0.04132897974679675,0.0021005206931530886,0.12293220713964352,0.007510967141501372,81.8025196291158,0.3283569940703877,0.043681954067454135,0.03758662616173802,152.1006893343754,70.16213548989116,15,03-Apr-2021 19:50:26,NASA,0.005365390232928617,0.0017885107719998062,0.01511232755222422,2.8166315768565053,8.449670971411884,0.00033738273622885284,0.062881304356626,0.1886389176463341,1312
CoRoT-13 b,4.035099780574021,4.801448006777906e-06,2454790.8086254257,0.0035323688541988494,0.04940309943019353,0.002524474397744693,0.08137908748623683,0.00152713867933979,85.23636017692505,0.08950478391966092,0.0,0.0,90.0,0.0,11,05-Apr-2021 15:05:17,NASA,0.00559423848238409,0.0018823039856835087,0.006622555880092589,1.18381722569508,3.5183243144904583,0.003557467024770445,0.6359162263054547,1.8899535100748592,3664
CoRoT-14 b,1.5121195417152722,2.132167950346897e-06,2454787.666671656,0.0021514249260079924,0.0265852785574978,0.0013554955317397438,0.08432490606884098,0.004830036184310465,78.33634414412107,0.26926996200291664,0.0,0.0,90.0,0.0,29,01-Apr-2021 19:51:29,NASA,0.005490252535576622,0.0010752958262829296,0.007110689783518855,1.295148035075229,6.6127753960498525,0.0013443057767351665,0.2448531771579025,1.2501729699650628,6292
CoRoT-19 b,3.897136722086238,3.232706162009336e-06,2455257.442721003,0.0029378787844372713,0.05021561242985397,0.002558101895688369,0.07232457114868324,1.8849808573213957e-05,86.301614782186,0.2696607990326581,0.0,0.0,90.0,0.0,12,05-Apr-2021 09:01:40,NASA,0.0037739570980138493,0.0012615796337446473,0.005230843591840943,1.3860368456742185,4.146265088565707,0.0052347583505267786,1.3870741544151943,4.149368149665558,9719
CoRoT-24 b,5.113531816253714,1.7077391780540294e-05,2454789.6072248816,0.004415290498952301,0.05586391612783026,0.0028482055579755893,0.03668924524498113,0.0021573333815513005,86.247881853693,0.17837265818280634,0.0,0.0,90.0,0.0,9,06-Apr-2021 01:00:05,NASA,0.005166189392970175,0.001811123770398811,0.0013461007166463705,0.2605596919226499,0.7432405993710511,0.0009174675795708963,0.17759077528580902,0.506573650330297,2195
