pl_name,pl_orbper,pl_orbpererr1,pl_tranmid,pl_tranmiderr1,pl_orbsmax,pl_orbsmaxerr1,pl_radj,pl_radjerr1,pl_orbincl,pl_orbinclerr1,pl_orbeccen,pl_orbeccenerr1,pl_orblper,pl_orblpererr1,Transits,Date,Archive,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity
55 Cnc e,0.736545983680097,4.3765591166715e-07,2457063.20810572,0.0010869243648789998,0.015169250872671004,0.0007655094035820001,0.019218536914796,0.000124384530673,80.74028276210159,0.354274609110781,0.20936356817261487,0.017549214737301998,252.061399381913,9.139176559492249,34,28-Feb-2021 10:41:44,NASA,,,,,
CoRoT-1 b,1.50896835389611,4.65177297240905e-07,2454159.45424653,0.001466644593437,0.026240819561675,0.001324184453297,0.14120934166015806,0.000511802972595,86.36791177316792,0.326087857729195,0.0,0.0,90.0,0.0,29,28-Feb-2021 01:43:29,NASA,,,,,
CoRoT-4 b,9.201619130572164,1.0784696627503044e-05,2454141.369916252,0.005553190989992871,0.09251430055749288,0.004709759429119186,0.11177813226723167,0.001334327119228185,89.37933041286026,0.8791142393469764,0.0,0.0,90.0,0.0,5,02-Mar-2021 22:53:46,NASA,,,,,
CoRoT-5 b,4.03791322285656,3.281194706389486e-06,2454400.2024165886,0.003615102073639772,0.05036285517534282,0.0025579778027021464,0.1188018656683804,0.0030790537256459834,85.13653273511906,0.1344064871972015,0.14759847208079174,0.04295938889987154,107.805490784919,49.335381395357906,11,03-Mar-2021 01:45:47,NASA,,,,,
CoRoT-7 b,0.853562000354268,8.637494057276141e-07,2454398.07680179,0.0014529011483499998,0.017337303529703,0.0008791647753660001,0.019310303421329,0.001016144935173,77.220712274501,0.165093156401495,0.0,0.0,168.219871888367,76.29251152847509,52,27-Feb-2021 02:36:12,NASA,,,,,
CoRoT-7 c,3.698016391108209,0.00017030051218217514,2454444.999171517,0.003055566586367664,0.045839657581836224,0.002337409426893235,0.031956531559561616,0.001735932381862172,80.08598747697434,0.7891777680165746,0.0,0.0,180.97309888600503,89.7609506138088,13,02-Mar-2021 22:41:16,NASA,,,,,
CoRoT-12 b,2.828054021977,1.97862904235522e-06,2454398.62610753,0.002823606336002001,0.039832329387952,0.002028810827464,0.14529591105647302,0.000501426179328,89.2204419450651,0.476968026392637,0.14095654306627,0.030554040904599,101.773368234314,37.8742213187018,15,01-Mar-2021 08:14:23,NASA,,,,,
CoRoT-13 b,4.035087564451939,3.8054474337045074e-06,2454790.813063018,0.0037054236424553296,0.053300357401861634,0.002713142405072411,0.09889485524632224,0.001160920804963004,89.00826295594842,0.4207082627309541,0.0,0.0,90.0,0.0,11,02-Mar-2021 05:50:22,NASA,,,,,
CoRoT-14 b,1.5121286544631507,3.2385612845886057e-06,2454787.673548125,0.0023928578973457858,0.026719103810003333,0.0013640300278900453,0.08371723226300952,0.005106579955145953,83.35541661604645,1.1098288371530751,0.0,0.0,90.0,0.0,29,03-Mar-2021 02:02:48,NASA,,,,,
CoRoT-18 b,1.90009217577418,1.04387692712349e-06,2455321.72171101,0.001986214637409,0.03008775637315,0.001535480225655,0.14802912492332002,0.000260051482709,89.9914447792968,0.5183625690360629,0.095587087838731,0.015074128485126997,90.0,0.0,22,01-Mar-2021 01:03:48,NASA,,,,,
CoRoT-19 b,3.897136958303902,3.2434807478459383e-06,2455257.44182603,0.003014638678341867,0.051417861300823035,0.0026068931906538238,0.07768658690528525,0.0008119283683484308,90.30235904371523,0.536199537563403,0.00714985606979919,0.008094808526570019,90.0,0.0,12,03-Mar-2021 02:41:59,NASA,,,,,
CoRoT-21 b,2.72454095897444,2.4262917525719395e-05,2454399.02590197,0.003125233998289,0.042242854456918,0.002153730526994,0.075359114014043,0.0017437769189839998,88.5653474827125,0.828924664080565,0.0,0.0,90.0,0.0,17,01-Mar-2021 05:08:43,NASA,,,,,
CoRoT-24 b,5.113574535525129,0.00017445044907389522,2454789.6032209843,0.004612600234387856,0.05720835118149384,0.0029151514076049003,0.043316392502201234,0.002212216930965854,88.38512715740593,0.5477650243784145,0.0,0.0,90.0,0.0,9,02-Mar-2021 23:13:54,NASA,,,,,
CoRoT-24 c,11.761025481307405,0.001264471875401578,2454795.375409698,0.006046930758836285,0.09822394474087008,0.0050102788599779395,0.05779742938990597,0.002982585598661293,88.9455113983336,0.6696931198548586,0.0,0.0,90.0,0.0,4,02-Mar-2021 22:39:21,NASA,,,,,
CoRoTID 223977153 b,6.718209212893123,1.5297563928755438e-05,2455901.8142208057,0.0062020623576097824,0.06788268330874679,0.003463067905668093,0.06682716652862683,0.0008480469722621749,90.03616653139579,0.3074672526098496,0.0,0.0,90.0,0.0,6,02-Mar-2021 22:50:46,NASA,,,,,
EPIC 246851721 b,6.180310832873018,2.1017537078444407e-05,2457865.1025847117,0.0044945127261562905,0.06987502620464253,0.0035655274965668924,0.06569179660790264,0.0004712733165395536,85.93837659542008,0.1000665916778205,0.0,0.0,90.0,0.0,5,02-Mar-2021 22:57:38,NASA,,,,,
GJ 143 b,35.61332328754131,1.5793752224059296e-05,2458385.928262385,0.000292710285837702,0.19157016794627152,0.009740483647642895,0.03487416963657946,0.0004151868122925093,89.28499098532005,0.5333753968394717,0.16810539540486624,0.051983597258046035,83.06402974621436,32.773494849207395,5,03-Mar-2021 00:27:32,NASA,,,,,
